Country,Code,Year,CO2_per_capita,GDP_per_capita
Afghanistan,AFG,2018,0.20,494
Albania,ALB,2018,1.94,5284
Algeria,DZA,2018,3.59,4154
Angola,AGO,2018,0.89,3290
Argentina,ARG,2018,3.99,11633
Armenia,ARM,2018,1.88,4221
Australia,AUS,2018,15.48,57355
Austria,AUT,2018,7.15,51453
Azerbaijan,AZE,2018,3.22,4740
Bahamas,BHS,2018,5.86,33768
Bahrain,BHR,2018,19.59,23991
Bangladesh,BGD,2018,0.51,1698
Belarus,BLR,2018,6.25,6330
Belgium,BEL,2018,8.18,47555
Belize,BLZ,2018,1.78,5001
Benin,BEN,2018,0.69,1241
Bhutan,BTN,2018,1.83,3243
Bolivia,BOL,2018,2.00,3549
Bosnia and Herzegovina,BIH,2018,6.78,6072
Botswana,BWA,2018,3.64,8280
Brazil,BRA,2018,2.04,9151
Brunei Darussalam,BRN,2018,16.64,31628
Bulgaria,BGR,2018,5.85,9428
Burkina Faso,BFA,2018,0.22,813
Burundi,BDI,2018,0.05,272
Côte d'Ivoire,CIV,2018,0.40,2314
Cambodia,KHM,2018,0.69,1512
Cameroon,CMR,2018,0.34,1534
Canada,CAN,2018,15.50,46455
Central African Republic,CAF,2018,0.07,476
Chad,TCD,2018,0.07,726
Chile,CHL,2018,4.62,15888
China,CHN,2018,7.41,9977
Colombia,COL,2018,1.60,6730
Costa Rica,CRI,2018,1.65,12469
Croatia,HRV,2018,4.06,15014
Cuba,CUB,2018,2.20,8824
Cyprus,CYP,2018,6.08,29089
Czech Republic,CZE,2018,9.64,23420
Denmark,DNK,2018,5.76,61599
Djibouti,DJI,2018,0.51,3142
Dominican Republic,DOM,2018,2.36,8051
Ecuador,ECU,2018,2.31,6296
Egypt,EGY,2018,2.50,2537
El Salvador,SLV,2018,1.06,4053
Eritrea,ERI,2018,0.23,NA
Estonia,EST,2018,12.10,23159
Ethiopia,ETH,2018,0.15,772
Fiji,FJI,2018,2.15,6317
Finland,FIN,2018,8.04,50013
France,FRA,2018,4.62,41526
Gabon,GAB,2018,2.18,7957
Georgia,GEO,2018,2.54,4723
Germany,DEU,2018,8.56,47787
Ghana,GHA,2018,0.54,2194
Greece,GRC,2018,6.08,19766
Guatemala,GTM,2018,1.11,4478
Guinea,GIN,2018,0.25,955
Guinea-Bissau,GNB,2018,0.17,803
Guyana,GUY,2018,3.13,6146
Haiti,HTI,2018,0.30,1435
Honduras,HND,2018,1.02,2510
Hungary,HUN,2018,4.75,16411
Iceland,ISL,2018,6.24,74348
India,IND,2018,1.80,1997
Indonesia,IDN,2018,2.18,3894
Iran,IRN,2018,7.69,3598
Iraq,IRQ,2018,4.90,5523
Ireland,IRL,2018,7.62,79298
Israel,ISR,2018,6.98,41705
Italy,ITA,2018,5.38,34609
Jamaica,JAM,2018,2.90,5360
Japan,JPN,2018,8.74,39159
Jordan,JOR,2018,2.48,4308
Kazakhstan,KAZ,2018,12.06,9813
Kenya,KEN,2018,0.36,1708
Kuwait,KWT,2018,21.62,33399
Lao PDR,LAO,2018,2.66,2542
Latvia,LVA,2018,3.96,17850
