Country,Year,"Death rates per 100,000",GDP per capita,Population,Continent,,
Afghanistan,2000,531.4,502.37,20779957,Asia,,
Afghanistan,2005,500.1,964.41,25654274,Asia,,
Afghanistan,2010,463.6,1627.67,29185511,Asia,,
Afghanistan,2015,427.3,1928,34413603,Asia,,
Albania,2000,120.2,4808.48,3129246,Europe,,
Albania,2005,94.3,6858.47,3086810,Europe,,
Albania,2010,70.8,9222.97,2948029,Europe,,
Albania,2015,62.5,10032,2890524,Europe,,
Algeria,2000,58.3,6834.55,31042238,Africa,,
Algeria,2005,48.9,9969.62,33149720,Africa,,
Algeria,2010,42.4,12587.74,35977451,Africa,,
Algeria,2015,47.4,14004,39728020,Africa,,
Angola,2000,329.3,2013.64,16395476,Africa,,
Angola,2005,287.1,3708.77,19433604,Africa,,
Angola,2010,260.6,7520.67,23356247,Africa,,
Angola,2015,249.3,8689,27884380,Africa,,
Argentina,2000,47.9,14368.94,36870796,South America,,
Argentina,2005,42.8,15344.16,38892924,South America,,
Argentina,2010,39.5,18979.99,40895751,South America,,
Argentina,2015,36,19502,43075416,South America,,
Armenia,2000,123.8,5139.83,3069597,Europe,,
Armenia,2005,89.5,8006.96,2981262,Europe,,
Armenia,2010,77.7,8330.81,2877314,Europe,,
Armenia,2015,67.4,10042,2925559,Europe,,
Australia,2000,15.9,36603.05,18991434,Oceania,,
Australia,2005,12.4,41904.45,20178543,Oceania,,
Australia,2010,9.2,45400.22,22154687,Oceania,,
Australia,2015,9,48357,23932499,Oceania,,
Austria,2000,35.6,34796.26,8069276,Europe,,
Austria,2005,27.7,37642.76,8253656,Europe,,
Austria,2010,24.1,40288.35,8409945,Europe,,
Austria,2015,23.8,41294,8678667,Europe,,
Azerbaijan,2000,181,4214.89,8122743,Europe,,
Azerbaijan,2005,130.8,7553.63,8538610,Europe,,
Azerbaijan,2010,120.3,16153.84,9032465,Europe,,
Azerbaijan,2015,96.2,17460,9622741,Europe,,
Bahrain,2000,89.6,17021.72,664610,Asia,,
Bahrain,2005,69.3,25230.9,889157,Asia,,
Bahrain,2010,53.8,34057.71,1240864,Asia,,
Bahrain,2015,48.5,40483,1371853,Asia,,
Bangladesh,2000,237.5,1485.31,127657862,Asia,,
Bangladesh,2005,245.5,1925.61,139035505,Asia,,
Bangladesh,2010,243.3,2599.21,147575433,Asia,,
Bangladesh,2015,229.3,3402,156256287,Asia,,
Barbados,2000,36.6,12600.02,271511,North America,,
Barbados,2005,30,12379.45,276320,North America,,
Barbados,2010,26.6,11954.32,282131,North America,,
Barbados,2015,26.8,11849,285327,North America,,
Belarus,2000,122.7,9110.98,9871635,Europe,,
Belarus,2005,102.8,12629.56,9562083,Europe,,
Belarus,2010,89.3,17172.46,9420576,Europe,,
